Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording,Source Year
1010180001,08/01/2013,"$50,000","427 N DODGE ST, IOWA CITY",2 Story Frame,1880,1188,"6,000","$152,790",5141-586,2013
1014158001,01/25/2013,"$65,000","1731 E ST, IOWA CITY",2 Story Frame,1920,880,"3,325","$199,300",5043-723,2013
1014306005,02/27/2013,"$83,000","1120 FRANKLIN ST, IOWA CITY",1 Story Frame,1935,699,"8,400","$173,330",5057-663,2013
1016403018,08/23/2013,"$85,000","316 DOUGLASS CT, IOWA CITY",1 Story Frame,1956,768,"5,100","$150,860",5153-513,2013
1014456009,11/25/2013,"$86,000","1809 DEFOREST AVE, IOWA CITY",Split Foyer Frame,1964,960,"12,138","$245,930",5184-107,2013
1016402009,06/26/2013,"$87,000","402 DOUGLASS ST, IOWA CITY",1 Story Frame,1955,672,"5,590","$124,850",5121-839,2013
1014110006,10/04/2013,"$88,000","2128 FRIENDSHIP ST, IOWA CITY",1 Story Frame,1950,480,"6,800","$145,660",5171-889,2013
1003484005,02/12/2013,"$92,000","1024 N GOVERNOR ST, IOWA CITY",1 1/2 Story Frame,1900,666,"7,200","$139,660",5054-619,2013
1014109004,01/10/2013,"$92,500","519 S 1ST AVE, IOWA CITY",2 Story Frame,1920,1384,"12,000","$376,270",5039-220,2013
1015409001,05/17/2013,"$93,400","1202 MARCY ST, IOWA CITY",1 Story Frame,1900,720,"6,250","$169,010",5104-469,2013
1016155009,01/10/2013,"$95,000","442 W BENTON ST, IOWA CITY",1 Story Frame,1953,672,"7,000","$143,540",5040-938,2013
1015411001,11/09/2013,"$97,000","1217 KEOKUK ST, IOWA CITY",1 Story Frame,1920,880,"6,962","$150,830",5180-894,2013
1023401004,06/15/2013,"$98,000","2312 NEVADA AVE, IOWA CITY",1 Story Frame,1962,1200,"8,775","$216,110",5124-220,2013
1002301015,11/01/2013,"$100,000","1353 DODGE STREET CT, IOWA CITY",1 Story Frame,1900,1250,"23,087","$192,210",5188-754,2013
1014345004,09/27/2013,"$105,000","1023 FRIENDLY AVE, IOWA CITY",1 Story Frame,1900,923,"6,250","$155,670",5168-1,2013
1016188014,07/31/2013,"$105,000","711 ORCHARD ST, IOWA CITY",1 Story Frame,1942,1437,"11,970","$233,730",5142-929,2013
1023198003,07/31/2013,"$105,000","2108 WESTERN RD, IOWA CITY",1 Story Frame,1961,1152,"8,125","$188,980",5142-271,2013
1024331004,12/05/2013,"$107,000","2413 WHISPERING PRAIRIE AVE, IOWA CITY",Split Foyer Frame,1992,742,"8,125","$160,840",5188-596,2013
1023401001,07/02/2013,"$108,000","2306 MIAMI DR, IOWA CITY",1 Story Frame,1966,1056,"7,560","$181,860",5123-627,2013
1014345006,06/12/2013,"$110,000","1011 FRIENDLY AVE, IOWA CITY",1 Story Frame,1900,832,"6,250","$175,010",5116-74,2013
1010408026,10/11/2013,"$112,000","921 E JEFFERSON ST, IOWA CITY",1 Story Frame,1897,933,"10,496","$234,690",5169-804,2013
1014340012,10/28/2013,"$112,000","1213 YEWELL ST, IOWA CITY",1 Story Frame,1945,1092,"6,250","$179,330",5176-224,2013
1014340013,06/28/2013,"$112,000","1215 YEWELL ST, IOWA CITY",1 Story Brick,1936,1037,"5,375","$193,420",5129-672,2013
1011318003,01/21/2013,"$112,500","1179 E JEFFERSON ST, IOWA CITY",1 Story Frame,1955,960,"9,750","$189,740",5042-923,2013
1014376013,04/29/2013,"$112,500","1425 SYCAMORE ST, IOWA CITY",Split Foyer Frame,1963,768,"6,148","$209,040",5085-293,2013
1014476004,11/11/2013,"$115,000","1343 S 1ST AVE, IOWA CITY",1 Story Frame,1990,1058,"9,600","$179,460",5181-83,2013
1023185004,12/30/2013,"$115,000","2229 HOLLYWOOD BLVD, IOWA CITY",1 Story Frame,1962,864,"7,500","$143,130",5194-433,2013
1023279004,06/13/2013,"$115,000","2149 BANCROFT DR, IOWA CITY",1 Story Frame,1977,1230,"8,750","$258,390",5110-214,2013
1023407017,08/07/2013,"$115,000","2503 NEVADA AVE, IOWA CITY",Split Foyer Frame,1971,888,"6,900","$178,240",5144-338,2013
1023184007,05/24/2013,"$115,750","2006 UNION RD, IOWA CITY",1 Story Frame,1965,864,"8,979","$200,450",5098-254,2013
1023402003,04/05/2013,"$116,500","2401 MIAMI DR, IOWA CITY",1 Story Frame,1962,864,"7,560","$190,870",5074-502,2013
