Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1010180001,08/01/2013,"$50,000","427 N DODGE ST, IOWA CITY",2 Story Frame,1880,1188,"6,000","$152,790",5141-586
1014158001,01/25/2013,"$65,000","1731 E ST, IOWA CITY",2 Story Frame,1920,880,"3,325","$199,300",5043-723
1014306005,02/27/2013,"$83,000","1120 FRANKLIN ST, IOWA CITY",1 Story Frame,1935,699,"8,400","$173,330",5057-663
1016403018,08/23/2013,"$85,000","316 DOUGLASS CT, IOWA CITY",1 Story Frame,1956,768,"5,100","$150,860",5153-513
1014456009,11/25/2013,"$86,000","1809 DEFOREST AVE, IOWA CITY",Split Foyer Frame,1964,960,"12,138","$245,930",5184-107
1016402009,06/26/2013,"$87,000","402 DOUGLASS ST, IOWA CITY",1 Story Frame,1955,672,"5,590","$124,850",5121-839
1014110006,10/04/2013,"$88,000","2128 FRIENDSHIP ST, IOWA CITY",1 Story Frame,1950,480,"6,800","$145,660",5171-889
1003484005,02/12/2013,"$92,000","1024 N GOVERNOR ST, IOWA CITY",1 1/2 Story Frame,1900,666,"7,200","$139,660",5054-619
1014109004,01/10/2013,"$92,500","519 S 1ST AVE, IOWA CITY",2 Story Frame,1920,1384,"12,000","$376,270",5039-220
1015409001,05/17/2013,"$93,400","1202 MARCY ST, IOWA CITY",1 Story Frame,1900,720,"6,250","$169,010",5104-469
1016155009,01/10/2013,"$95,000","442 W BENTON ST, IOWA CITY",1 Story Frame,1953,672,"7,000","$143,540",5040-938
1015411001,11/09/2013,"$97,000","1217 KEOKUK ST, IOWA CITY",1 Story Frame,1920,880,"6,962","$150,830",5180-894
1023401004,06/15/2013,"$98,000","2312 NEVADA AVE, IOWA CITY",1 Story Frame,1962,1200,"8,775","$216,110",5124-220
1002301015,11/01/2013,"$100,000","1353 DODGE STREET CT, IOWA CITY",1 Story Frame,1900,1250,"23,087","$192,210",5188-754
1014345004,09/27/2013,"$105,000","1023 FRIENDLY AVE, IOWA CITY",1 Story Frame,1900,923,"6,250","$155,670",5168-1
1016188014,07/31/2013,"$105,000","711 ORCHARD ST, IOWA CITY",1 Story Frame,1942,1437,"11,970","$233,730",5142-929
1023198003,07/31/2013,"$105,000","2108 WESTERN RD, IOWA CITY",1 Story Frame,1961,1152,"8,125","$188,980",5142-271
