Parcel Number,Sale Date,Sale Amount,Address,Style,Year Built,Total SF,Lot Area,Appraised Value,Recording
1014405001,11/14/2018,"$57,000","1103 4TH AVE, IOWA CITY",1 Story Frame,1900,791,"6,000","$116,490",5855-268
1015427009,03/02/2018,"$68,800","1016 DIANA ST, IOWA CITY",1 Story Frame,1944,624,"7,998","$105,940",5762-190
1014355006,09/24/2018,"$72,000","1510 CRESCENT ST, IOWA CITY",1 Story Frame,1936,646,"6,250","$105,230",5843-12
1014427014,12/27/2018,"$72,000","1025 5TH AVE, IOWA CITY",2 Story Frame,2023,1431,"6,000","$390,310",5870-868
1010183016,09/27/2018,"$75,000","934 E DAVENPORT ST, IOWA CITY",1 Story Frame,2020,1040,"7,500","$276,900",5842-488
1002328004,11/12/2018,"$85,000","1126 ST CLEMENT ST, IOWA CITY",1 Story Frame,1967,1040,"7,323","$275,090",5856-1000
1023190012,04/09/2018,"$85,000","2012 WESTERN RD, IOWA CITY",1 Story Frame,1964,912,"8,125","$192,100",5774-5
1014363002,03/01/2018,"$89,000","1600 CRESCENT ST, IOWA CITY",1 Story Frame,1900,702,"6,250","$107,290",5768-11
1010183016,11/13/2018,"$90,000","934 E DAVENPORT ST, IOWA CITY",1 Story Frame,2020,1040,"7,500","$276,900",5855-497
1014185001,10/23/2018,"$95,000","801 2ND AVE, IOWA CITY",1 Story Frame,1935,776,"9,000","$180,090",5852-300
1013303003,08/23/2018,"$97,000","1016 CARVER ST, IOWA CITY",1 Story Frame,1964,960,"6,480","$230,030",5834-412
1014104003,10/12/2018,"$100,000","413 4TH AVE, IOWA CITY",1 Story Frame,1900,864,"9,000","$178,790",5846-185
1011262007,09/07/2018,"$108,000","937 E DAVENPORT ST, IOWA CITY",1 Story Frame,1920,672,"7,500","$168,800",5835-261
1014431010,04/03/2018,"$119,000","1820 I ST, IOWA CITY",1 Story Frame,1900,565,"10,222","$150,750",5771-807
1013253005,07/30/2018,"$120,000","710 S 1ST AVE, IOWA CITY",1 Story Frame,1978,1152,"9,438","$185,420",5819-370
1016192002,02/19/2018,"$120,000","313 W BENTON ST, IOWA CITY",1 Story Frame,1955,864,"26,752","$247,100",5759-596
1014110006,12/07/2018,"$122,000","2128 FRIENDSHIP ST, IOWA CITY",1 Story Frame,1950,480,"6,800","$145,660",5861-697
1016190002,07/03/2018,"$123,900","336 W BENTON ST, IOWA CITY",1 Story Frame,1950,672,"7,000","$150,890",5809-590
1013326009,05/07/2018,"$125,000","2630 WAYNE AVE, IOWA CITY",1 Story Frame,1958,825,"6,600","$147,070",5781-141
1014432004,06/18/2018,"$125,000","1108 5TH AVE, IOWA CITY",1 Story Frame,1962,992,"6,000","$160,630",5801-255
1015414003,05/31/2018,"$125,000","1337 CARROLL ST, IOWA CITY",1 Story Frame,1953,864,"7,785","$213,060",5794-189
1023106002,03/16/2018,"$125,000","2016 HOLLYWOOD BLVD, IOWA CITY",1 1/2 Story Frame,1900,1519,"10,050","$260,070",5769-14
1024251006,04/04/2018,"$126,000","2230 HOLLYWOOD BLVD, IOWA CITY",1 Story Frame,1961,1084,"9,000","$193,160",5788-641
1023409004,08/16/2018,"$128,000","4 REGAL LN, IOWA CITY",Split Foyer Frame,1971,913,"6,900","$186,730",5831-579
